,cost time,FPS,1,2,3,coordinate,len
1.png,0.022649288177490234,44,motorbike,person,,"[[798, 630, 1203, 1052], [843, 497, 1110, 821]]",2
2.png,0.00743556022644043,134,person,,,"[[843, 495, 1113, 822]]",1
3.png,0.0076558589935302734,130,bicycle,person,,"[[802, 620, 1174, 985], [847, 513, 1111, 877]]",2
4.png,0.00757288932800293,132,bicycle,person,,"[[795, 610, 1163, 995], [848, 492, 1111, 826]]",2
5.png,0.007849693298339844,127,bicycle,person,,"[[795, 638, 1196, 1048], [844, 497, 1124, 817]]",2
6.png,0.007430553436279297,134,person,,,"[[851, 496, 1119, 815]]",1
7.png,0.007948875427246094,125,motorbike,person,,"[[780, 640, 1227, 1057], [853, 499, 1120, 810]]",2
8.png,0.007901906967163086,126,bicycle,person,,"[[783, 644, 1224, 1061], [858, 510, 1120, 873]]",2
9.png,0.007341146469116211,136,bicycle,person,,"[[793, 678, 1198, 1044], [845, 512, 1135, 891]]",2
10.png,0.007554769515991211,132,bicycle,person,,"[[817, 669, 1149, 1027], [847, 505, 1127, 895]]",2
11.png,0.00774836540222168,129,bicycle,person,,"[[823, 685, 1153, 1007], [848, 517, 1120, 899]]",2
12.png,0.007947683334350586,125,bicycle,person,,"[[848, 582, 1132, 1000], [868, 523, 1110, 896]]",2
13.png,0.007412910461425781,134,bicycle,person,,"[[863, 676, 1132, 1021], [863, 518, 1115, 939]]",2
14.png,0.0073089599609375,136,bicycle,person,,"[[863, 676, 1132, 1021], [863, 518, 1115, 939]]",2
15.png,0.007632017135620117,131,bicycle,person,,"[[871, 568, 1119, 1018], [870, 514, 1108, 939]]",2
16.png,0.007200956344604492,138,bicycle,,,"[[871, 685, 1115, 1038]]",1
17.png,0.007634878158569336,130,bicycle,person,,"[[863, 703, 1124, 1028], [860, 501, 1120, 952]]",2
18.png,0.007405281066894531,135,person,,,"[[885, 493, 1112, 949]]",1
19.png,0.007368326187133789,135,person,,,"[[900, 471, 1104, 981]]",1
20.png,0.007883071899414062,126,bicycle,person,,"[[854, 687, 1089, 1031], [893, 484, 1103, 964]]",2
21.png,0.00730443000793457,136,bicycle,person,,"[[855, 687, 1090, 1025], [895, 478, 1101, 967]]",2
22.png,0.00696873664855957,143,bicycle,person,,"[[862, 561, 1093, 1009], [874, 502, 1102, 945]]",2
23.png,0.00723719596862793,138,person,,,"[[883, 492, 1095, 945]]",1
24.png,0.0072858333587646484,137,person,,,"[[889, 513, 1103, 934]]",1
25.png,0.007699728012084961,129,person,,,"[[886, 507, 1094, 950]]",1
26.png,0.006537914276123047,152,,,,[],0
27.png,0.007180452346801758,139,,,,[],0
28.png,0.006670713424682617,149,,,,[],0
29.png,0.007160186767578125,139,person,,,"[[946, 546, 1059, 863]]",1
30.png,0.0071849822998046875,139,person,,,"[[930, 539, 1048, 835]]",1
31.png,0.006510734558105469,153,,,,[],0
32.png,0.006572723388671875,152,,,,[],0
33.png,0.007223844528198242,138,person,,,"[[950, 536, 1050, 841]]",1
34.png,0.00652623176574707,153,,,,[],0
35.png,0.006504535675048828,153,,,,[],0
36.png,0.006510257720947266,153,,,,[],0
37.png,0.006516695022583008,153,,,,[],0
38.png,0.006534576416015625,153,,,,[],0
39.png,0.007390022277832031,135,person,,,"[[935, 536, 1050, 873]]",1
40.png,0.0073015689849853516,136,person,,,"[[936, 532, 1050, 878]]",1
41.png,0.007636308670043945,130,person,,,"[[939, 513, 1046, 901]]",1
42.png,0.007229804992675781,138,person,,,"[[941, 519, 1043, 886]]",1
43.png,0.007609367370605469,131,person,,,"[[907, 519, 1088, 767]]",1
44.png,0.0074460506439208984,134,person,,,"[[904, 512, 1076, 757]]",1
45.png,0.007523298263549805,132,person,,,"[[901, 505, 1077, 767]]",1
46.png,0.0073719024658203125,135,person,,,"[[914, 508, 1073, 763]]",1
47.png,0.00728607177734375,137,person,,,"[[914, 505, 1069, 737]]",1
48.png,0.007436990737915039,134,person,,,"[[911, 495, 1065, 755]]",1
49.png,0.007769346237182617,128,person,,,"[[884, 509, 1068, 773]]",1
50.png,0.007508993148803711,133,person,,,"[[895, 510, 1074, 752]]",1
51.png,0.006770133972167969,147,,,,[],0
52.png,0.006420135498046875,155,,,,[],0
53.png,0.006429433822631836,155,,,,[],0
54.png,0.006760597229003906,147,,,,[],0
55.png,0.0064656734466552734,154,,,,[],0
56.png,0.006628751754760742,150,,,,[],0
57.png,0.006788492202758789,147,,,,[],0
58.png,0.006531953811645508,153,,,,[],0
59.png,0.006630659103393555,150,,,,[],0
60.png,0.007069587707519531,141,person,,,"[[898, 565, 1032, 832]]",1
61.png,0.0071582794189453125,139,bicycle,,,"[[891, 631, 1036, 908]]",1
62.png,0.006470441818237305,154,,,,[],0
63.png,0.00642085075378418,155,,,,[],0
64.png,0.006742954254150391,148,,,,[],0
65.png,0.00643610954284668,155,,,,[],0
66.png,0.00670623779296875,149,,,,[],0
67.png,0.007358074188232422,135,bicycle,,,"[[823, 612, 1098, 930]]",1
68.png,0.0064868927001953125,154,,,,[],0
69.png,0.007437229156494141,134,person,,,"[[900, 567, 1020, 846]]",1
70.png,0.006529808044433594,153,,,,[],0
71.png,0.0065686702728271484,152,,,,[],0
72.png,0.006796836853027344,147,bottle,,,"[[1753, 836, 1903, 1077]]",1
73.png,0.006522417068481445,153,,,,[],0
74.png,0.006713390350341797,148,,,,[],0
75.png,0.006741762161254883,148,person,,,"[[866, 531, 987, 880]]",1
76.png,0.007218122482299805,138,person,,,"[[878, 539, 992, 874]]",1
77.png,0.007195472717285156,138,person,,,"[[887, 529, 1002, 882]]",1
78.png,0.0071868896484375,139,person,,,"[[889, 521, 999, 894]]",1
79.png,0.007378339767456055,135,person,,,"[[892, 531, 1006, 886]]",1
80.png,0.007110118865966797,140,person,,,"[[897, 541, 1003, 862]]",1
81.png,0.0065538883209228516,152,,,,[],0
82.png,0.007042646408081055,141,person,,,"[[887, 536, 1003, 862]]",1
83.png,0.007482290267944336,133,person,,,"[[894, 528, 1006, 872]]",1
84.png,0.00653839111328125,152,,,,[],0
85.png,0.007264852523803711,137,person,,,"[[879, 549, 1021, 868]]",1
86.png,0.006494045257568359,153,,,,[],0
87.png,0.006463289260864258,154,,,,[],0
88.png,0.007236480712890625,138,person,,,"[[875, 522, 989, 884]]",1
89.png,0.007432460784912109,134,person,,,"[[866, 526, 991, 888]]",1
90.png,0.007620573043823242,131,person,,,"[[871, 532, 990, 883]]",1
91.png,0.0065615177154541016,152,,,,[],0
92.png,0.007343769073486328,136,person,,,"[[822, 534, 994, 913]]",1
93.png,0.007504701614379883,133,person,,,"[[860, 520, 986, 895]]",1
94.png,0.00744318962097168,134,person,,,"[[874, 532, 1009, 884]]",1
95.png,0.0074901580810546875,133,person,,,"[[880, 547, 1018, 862]]",1
96.png,0.0068738460540771484,145,person,,,"[[908, 547, 1027, 862]]",1
97.png,0.007108926773071289,140,person,,,"[[907, 527, 1015, 882]]",1
98.png,0.007152557373046875,139,person,,,"[[916, 525, 1018, 883]]",1
99.png,0.007441520690917969,134,person,,,"[[918, 511, 1032, 901]]",1
100.png,0.007564544677734375,132,person,,,"[[923, 501, 1027, 907]]",1
