,cost time,FPS,1,2,3,4,5,6,7,8,coordinate,len
1.png,0.022649526596069336,44,person,,,,,,,,"[[67, 0, 1042, 1069]]",1
2.png,0.007559537887573242,132,person,,,,,,,,"[[67, 0, 1041, 1069]]",1
3.png,0.007577180862426758,131,person,,,,,,,,"[[67, 0, 1041, 1069]]",1
4.png,0.008219718933105469,121,person,,,,,,,,"[[67, 0, 1042, 1069]]",1
5.png,0.007462024688720703,134,person,,,,,,,,"[[67, 0, 1042, 1069]]",1
6.png,0.007871866226196289,127,person,,,,,,,,"[[67, 0, 1042, 1069]]",1
7.png,0.008080720901489258,123,person,,,,,,,,"[[66, 0, 1043, 1068]]",1
8.png,0.007841825485229492,127,person,,,,,,,,"[[66, 0, 1042, 1068]]",1
9.png,0.007756948471069336,128,person,,,,,,,,"[[66, 0, 1043, 1068]]",1
10.png,0.007486104965209961,133,person,,,,,,,,"[[66, 0, 1043, 1068]]",1
11.png,0.007459163665771484,134,person,,,,,,,,"[[66, 0, 1043, 1068]]",1
12.png,0.007947206497192383,125,person,,,,,,,,"[[66, 0, 1043, 1068]]",1
13.png,0.007676601409912109,130,person,,,,,,,,"[[66, 0, 1043, 1068]]",1
14.png,0.0075457096099853516,132,person,,,,,,,,"[[66, 0, 1043, 1068]]",1
15.png,0.007494211196899414,133,person,,,,,,,,"[[66, 0, 1043, 1068]]",1
16.png,0.007565498352050781,132,person,,,,,,,,"[[66, 0, 1043, 1068]]",1
17.png,0.007876873016357422,126,person,,,,,,,,"[[66, 0, 1043, 1068]]",1
18.png,0.0075452327728271484,132,person,,,,,,,,"[[66, 0, 1043, 1068]]",1
19.png,0.007531642913818359,132,person,,,,,,,,"[[66, 0, 1043, 1068]]",1
20.png,0.007494449615478516,133,person,,,,,,,,"[[66, 0, 1043, 1068]]",1
21.png,0.007598161697387695,131,person,,,,,,,,"[[66, 0, 1043, 1068]]",1
22.png,0.007586240768432617,131,person,,,,,,,,"[[66, 0, 1043, 1068]]",1
23.png,0.007870912551879883,127,person,,,,,,,,"[[65, 0, 1043, 1068]]",1
24.png,0.007221221923828125,138,person,,,,,,,,"[[66, 0, 1043, 1068]]",1
25.png,0.007583141326904297,131,person,,,,,,,,"[[66, 0, 1043, 1068]]",1
26.png,0.007481813430786133,133,person,,,,,,,,"[[66, 0, 1043, 1068]]",1
27.png,0.00777888298034668,128,person,,,,,,,,"[[66, 1, 1043, 1068]]",1
28.png,0.007519960403442383,132,person,,,,,,,,"[[66, 0, 1043, 1068]]",1
29.png,0.007512331008911133,133,person,,,,,,,,"[[66, 0, 1043, 1068]]",1
30.png,0.007475614547729492,133,person,,,,,,,,"[[67, 0, 1042, 1068]]",1
31.png,0.007561445236206055,132,person,,,,,,,,"[[67, 1, 1043, 1068]]",1
32.png,0.007791280746459961,128,person,,,,,,,,"[[67, 0, 1042, 1068]]",1
33.png,0.007502079010009766,133,person,,,,,,,,"[[67, 1, 1042, 1068]]",1
34.png,0.007500171661376953,133,person,,,,,,,,"[[67, 0, 1042, 1068]]",1
35.png,0.007504940032958984,133,person,,,,,,,,"[[67, 1, 1042, 1068]]",1
36.png,0.007560014724731445,132,person,,,,,,,,"[[67, 0, 1041, 1068]]",1
37.png,0.007615566253662109,131,person,,,,,,,,"[[68, 0, 1041, 1068]]",1
38.png,0.007587432861328125,131,person,,,,,,,,"[[68, 0, 1041, 1068]]",1
39.png,0.007508993148803711,133,person,,,,,,,,"[[67, 0, 1041, 1068]]",1
40.png,0.007513284683227539,133,person,,,,,,,,"[[67, 0, 1041, 1068]]",1
41.png,0.0074994564056396484,133,person,,,,,,,,"[[67, 0, 1041, 1069]]",1
42.png,0.0075740814208984375,132,person,,,,,,,,"[[68, 0, 1041, 1068]]",1
43.png,0.007509946823120117,133,person,,,,,,,,"[[67, 0, 1041, 1069]]",1
44.png,0.007481575012207031,133,person,,,,,,,,"[[67, 0, 1041, 1068]]",1
45.png,0.007467746734619141,133,person,,,,,,,,"[[67, 0, 1041, 1069]]",1
46.png,0.007582426071166992,131,person,,,,,,,,"[[67, 0, 1041, 1069]]",1
47.png,0.007574796676635742,132,person,,,,,,,,"[[67, 0, 1040, 1069]]",1
48.png,0.007488250732421875,133,person,,,,,,,,"[[67, 0, 1041, 1069]]",1
49.png,0.007489919662475586,133,person,,,,,,,,"[[68, 0, 1040, 1069]]",1
50.png,0.006962299346923828,143,person,,,,,,,,"[[67, 0, 1041, 1069]]",1
51.png,0.0076448917388916016,130,person,,,,,,,,"[[68, 0, 1040, 1069]]",1
52.png,0.00766301155090332,130,person,,,,,,,,"[[67, 0, 1041, 1069]]",1
53.png,0.007535696029663086,132,person,,,,,,,,"[[67, 0, 1041, 1069]]",1
54.png,0.007567405700683594,132,person,,,,,,,,"[[67, 0, 1041, 1068]]",1
55.png,0.007515668869018555,133,person,,,,,,,,"[[67, 0, 1041, 1069]]",1
56.png,0.0068891048431396484,145,person,,,,,,,,"[[67, 0, 1041, 1069]]",1
57.png,0.007511615753173828,133,person,,,,,,,,"[[65, 1, 1044, 1068]]",1
58.png,0.007759571075439453,128,person,,,,,,,,"[[60, 4, 1047, 1065]]",1
59.png,0.007521152496337891,132,person,,,,,,,,"[[57, 15, 1062, 1054]]",1
60.png,0.00795292854309082,125,person,,,,,,,,"[[45, 27, 1079, 1040]]",1
61.png,0.007537126541137695,132,person,,,,,,,,"[[35, 35, 1092, 1031]]",1
62.png,0.007529258728027344,132,person,,,,,,,,"[[20, 37, 1327, 1021]]",1
63.png,0.007468223571777344,133,person,,,,,,,,"[[20, 37, 1327, 1021]]",1
64.png,0.006556034088134766,152,,,,,,,,,[],0
65.png,0.006628513336181641,150,,,,,,,,,[],0
66.png,0.0064849853515625,154,,,,,,,,,[],0
67.png,0.006468296051025391,154,,,,,,,,,[],0
68.png,0.006662607192993164,150,,,,,,,,,[],0
69.png,0.0065076351165771484,153,,,,,,,,,[],0
70.png,0.00654292106628418,152,,,,,,,,,[],0
71.png,0.0067713260650634766,147,,,,,,,,,[],0
72.png,0.006543397903442383,152,,,,,,,,,[],0
73.png,0.006502389907836914,153,,,,,,,,,[],0
74.png,0.006505012512207031,153,,,,,,,,,[],0
75.png,0.006897449493408203,144,,,,,,,,,[],0
76.png,0.00653839111328125,152,,,,,,,,,[],0
77.png,0.006476640701293945,154,,,,,,,,,[],0
78.png,0.006768941879272461,147,,,,,,,,,[],0
79.png,0.006629467010498047,150,,,,,,,,,[],0
80.png,0.006532907485961914,153,,,,,,,,,[],0
81.png,0.006535053253173828,153,,,,,,,,,[],0
82.png,0.006496906280517578,153,,,,,,,,,[],0
83.png,0.0066661834716796875,150,,,,,,,,,[],0
84.png,0.006540536880493164,152,,,,,,,,,[],0
85.png,0.006135225296020508,162,,,,,,,,,[],0
86.png,0.006693363189697266,149,,,,,,,,,[],0
87.png,0.006572246551513672,152,,,,,,,,,[],0
88.png,0.006777524948120117,147,,,,,,,,,[],0
89.png,0.006169557571411133,162,,,,,,,,,[],0
90.png,0.006539821624755859,152,,,,,,,,,[],0
91.png,0.00649571418762207,153,,,,,,,,,[],0
92.png,0.0064809322357177734,154,,,,,,,,,[],0
93.png,0.006558895111083984,152,,,,,,,,,[],0
94.png,0.0065915584564208984,151,,,,,,,,,[],0
95.png,0.006636381149291992,150,,,,,,,,,[],0
96.png,0.006188631057739258,161,,,,,,,,,[],0
97.png,0.006555318832397461,152,,,,,,,,,[],0
98.png,0.006516218185424805,153,,,,,,,,,[],0
99.png,0.006672859191894531,149,,,,,,,,,[],0
100.png,0.006496429443359375,153,,,,,,,,,[],0
101.png,0.006481170654296875,154,,,,,,,,,[],0
102.png,0.006527423858642578,153,,,,,,,,,[],0
103.png,0.006529331207275391,153,,,,,,,,,[],0
104.png,0.006857633590698242,145,,,,,,,,,[],0
105.png,0.006524085998535156,153,,,,,,,,,[],0
106.png,0.00650787353515625,153,,,,,,,,,[],0
107.png,0.006517171859741211,153,,,,,,,,,[],0
108.png,0.00651240348815918,153,,,,,,,,,[],0
109.png,0.0065402984619140625,152,,,,,,,,,[],0
110.png,0.006509065628051758,153,,,,,,,,,[],0
111.png,0.01842331886291504,54,,,,,,,,,[],0
112.png,0.006447315216064453,155,,,,,,,,,[],0
113.png,0.0068819522857666016,145,,,,,,,,,[],0
114.png,0.006479024887084961,154,,,,,,,,,[],0
115.png,0.0069119930267333984,144,,,,,,,,,[],0
116.png,0.0067865848541259766,147,,,,,,,,,[],0
117.png,0.006356954574584961,157,,,,,,,,,[],0
118.png,0.006785869598388672,147,,,,,,,,,[],0
119.png,0.0065042972564697266,153,,,,,,,,,[],0
120.png,0.006837368011474609,146,,,,,,,,,[],0
121.png,0.0064563751220703125,154,,,,,,,,,[],0
122.png,0.0067059993743896484,149,,,,,,,,,[],0
123.png,0.006483793258666992,154,,,,,,,,,[],0
124.png,0.006590127944946289,151,,,,,,,,,[],0
125.png,0.006555318832397461,152,,,,,,,,,[],0
126.png,0.00685572624206543,145,,,,,,,,,[],0
127.png,0.006584882736206055,151,,,,,,,,,[],0
128.png,0.00692296028137207,144,,,,,,,,,[],0
129.png,0.0065343379974365234,153,,,,,,,,,[],0
130.png,0.006534099578857422,153,,,,,,,,,[],0
131.png,0.006501913070678711,153,,,,,,,,,[],0
132.png,0.00668787956237793,149,,,,,,,,,[],0
133.png,0.006507158279418945,153,,,,,,,,,[],0
134.png,0.006485700607299805,154,,,,,,,,,[],0
135.png,0.006769418716430664,147,,,,,,,,,[],0
136.png,0.0065021514892578125,153,,,,,,,,,[],0
137.png,0.0066776275634765625,149,,,,,,,,,[],0
138.png,0.0069048404693603516,144,,,,,,,,,[],0
139.png,0.00626373291015625,159,,,,,,,,,[],0
140.png,0.0064830780029296875,154,,,,,,,,,[],0
141.png,0.006474971771240234,154,,,,,,,,,[],0
142.png,0.006539821624755859,152,,,,,,,,,[],0
143.png,0.006499052047729492,153,,,,,,,,,[],0
144.png,0.006476402282714844,154,,,,,,,,,[],0
145.png,0.0064618587493896484,154,,,,,,,,,[],0
146.png,0.006185770034790039,161,,,,,,,,,[],0
147.png,0.006547451019287109,152,,,,,,,,,[],0
148.png,0.0069713592529296875,143,,,,,,,,,[],0
149.png,0.0065381526947021484,152,,,,,,,,,[],0
150.png,0.0065081119537353516,153,,,,,,,,,[],0
151.png,0.006518125534057617,153,,,,,,,,,[],0
152.png,0.006566047668457031,152,,,,,,,,,[],0
153.png,0.006703615188598633,149,,,,,,,,,[],0
