,cost time,FPS,1,2,3,4,5,coordinate,len
1.png,0.022762537002563477,43,car,person,person,,,"[[1220, 380, 1530, 469], [683, 546, 901, 982], [982, 428, 1052, 655]]",3
2.png,0.00810384750366211,123,car,person,person,,,"[[1225, 381, 1534, 468], [679, 543, 906, 986], [971, 418, 1050, 658]]",3
3.png,0.007776021957397461,128,car,person,person,,,"[[1222, 381, 1525, 468], [695, 534, 896, 993], [942, 432, 1031, 647]]",3
4.png,0.007375240325927734,135,car,person,,,,"[[1219, 383, 1527, 469], [723, 527, 907, 938]]",2
5.png,0.007921695709228516,126,car,person,,,,"[[1220, 381, 1513, 474], [868, 417, 947, 640]]",2
6.png,0.007696390151977539,129,car,person,person,,,"[[1229, 382, 1510, 476], [865, 432, 953, 641], [728, 499, 898, 943]]",3
7.png,0.006829023361206055,146,car,person,,,,"[[1233, 382, 1514, 475], [864, 432, 944, 627]]",2
8.png,0.007179737091064453,139,car,,,,,"[[1220, 381, 1513, 474]]",1
9.png,0.0070972442626953125,140,car,,,,,"[[1225, 383, 1510, 479]]",1
10.png,0.007161855697631836,139,car,,,,,"[[1221, 383, 1520, 481]]",1
11.png,0.007364511489868164,135,car,,,,,"[[1229, 384, 1509, 478]]",1
12.png,0.00721287727355957,138,car,,,,,"[[1225, 385, 1508, 481]]",1
13.png,0.007338047027587891,136,car,,,,,"[[1207, 385, 1522, 483]]",1
14.png,0.0071506500244140625,139,car,,,,,"[[1207, 385, 1522, 483]]",1
15.png,0.007233858108520508,138,car,,,,,"[[1209, 385, 1513, 485]]",1
16.png,0.0072154998779296875,138,car,,,,,"[[1195, 381, 1516, 486]]",1
17.png,0.008037567138671875,124,car,person,,,,"[[1198, 382, 1524, 488], [710, 477, 886, 955]]",2
18.png,0.007927417755126953,126,car,person,,,,"[[1194, 380, 1519, 489], [728, 491, 890, 958]]",2
19.png,0.007916688919067383,126,car,person,,,,"[[1183, 385, 1529, 493], [746, 528, 899, 875]]",2
20.png,0.008113622665405273,123,car,person,,,,"[[1182, 385, 1526, 491], [746, 528, 899, 873]]",2
21.png,0.007926225662231445,126,car,person,,,,"[[1193, 385, 1515, 487], [745, 525, 898, 877]]",2
22.png,0.00809931755065918,123,car,person,,,,"[[1180, 383, 1529, 496], [734, 558, 897, 983]]",2
23.png,0.007640361785888672,130,car,person,,,,"[[1186, 385, 1522, 498], [724, 486, 890, 941]]",2
24.png,0.00792241096496582,126,car,,,,,"[[1195, 386, 1515, 500]]",1
25.png,0.0076100826263427734,131,car,person,,,,"[[1173, 387, 1536, 499], [717, 490, 891, 941]]",2
26.png,0.007916927337646484,126,car,person,,,,"[[1191, 389, 1515, 497], [714, 487, 878, 955]]",2
27.png,0.007935285568237305,126,car,person,,,,"[[1181, 386, 1525, 499], [714, 493, 873, 931]]",2
28.png,0.0075550079345703125,132,car,person,,,,"[[1182, 387, 1525, 499], [718, 475, 877, 946]]",2
29.png,0.007123708724975586,140,car,person,,,,"[[1172, 385, 1531, 503], [710, 450, 873, 950]]",2
30.png,0.007634878158569336,130,car,person,,,,"[[1180, 390, 1530, 504], [707, 440, 865, 963]]",2
31.png,0.0076406002044677734,130,car,person,,,,"[[1174, 392, 1531, 505], [708, 450, 863, 965]]",2
32.png,0.0077512264251708984,129,car,person,,,,"[[1166, 389, 1539, 507], [710, 462, 865, 957]]",2
33.png,0.007919073104858398,126,car,person,,,,"[[1163, 390, 1555, 512], [703, 487, 871, 963]]",2
