,cost time,FPS,1,2,3,4,5,coordinate,len
1.png,0.02118539810180664,47,,,,,,[],0
2.png,0.006497859954833984,153,,,,,,[],0
3.png,0.006573915481567383,152,,,,,,[],0
4.png,0.006471157073974609,154,,,,,,[],0
5.png,0.006731271743774414,148,,,,,,[],0
6.png,0.006609439849853516,151,,,,,,[],0
7.png,0.0069751739501953125,143,,,,,,[],0
8.png,0.00655364990234375,152,,,,,,[],0
9.png,0.006580352783203125,151,,,,,,[],0
10.png,0.00657963752746582,151,,,,,,[],0
11.png,0.006539106369018555,152,,,,,,[],0
12.png,0.00656580924987793,152,,,,,,[],0
13.png,0.006575345993041992,152,,,,,,[],0
14.png,0.006537437438964844,152,,,,,,[],0
15.png,0.006537199020385742,152,,,,,,[],0
16.png,0.0065860748291015625,151,,,,,,[],0
17.png,0.006737232208251953,148,,,,,,[],0
18.png,0.00650477409362793,153,,,,,,[],0
19.png,0.006516218185424805,153,,,,,,[],0
20.png,0.00677800178527832,147,,,,,,[],0
21.png,0.006620645523071289,151,,,,,,[],0
22.png,0.0065021514892578125,153,,,,,,[],0
23.png,0.0065038204193115234,153,,,,,,[],0
24.png,0.006387233734130859,156,,,,,,[],0
25.png,0.006775856018066406,147,,,,,,[],0
26.png,0.006952047348022461,143,,,,,,[],0
27.png,0.006543636322021484,152,,,,,,[],0
28.png,0.006461620330810547,154,,,,,,[],0
29.png,0.006318092346191406,158,,,,,,[],0
30.png,0.006505489349365234,153,,,,,,[],0
31.png,0.006517171859741211,153,,,,,,[],0
32.png,0.0065267086029052734,153,,,,,,[],0
33.png,0.006535053253173828,153,,,,,,[],0
34.png,0.006635904312133789,150,,,,,,[],0
35.png,0.0064754486083984375,154,,,,,,[],0
36.png,0.0067937374114990234,147,,,,,,[],0
37.png,0.006498813629150391,153,,,,,,[],0
38.png,0.0065500736236572266,152,,,,,,[],0
39.png,0.0064983367919921875,153,,,,,,[],0
40.png,0.006486654281616211,154,,,,,,[],0
41.png,0.006513833999633789,153,,,,,,[],0
42.png,0.006951332092285156,143,,,,,,[],0
43.png,0.006705760955810547,149,,,,,,[],0
44.png,0.006575822830200195,152,,,,,,[],0
45.png,0.006604194641113281,151,,,,,,[],0
46.png,0.006509542465209961,153,,,,,,[],0
47.png,0.0067501068115234375,148,,,,,,[],0
48.png,0.0069484710693359375,143,,,,,,[],0
49.png,0.006536722183227539,152,,,,,,[],0
50.png,0.006548881530761719,152,,,,,,[],0
51.png,0.006530046463012695,153,,,,,,[],0
52.png,0.006336212158203125,157,,,,,,[],0
53.png,0.006476879119873047,154,,,,,,[],0
54.png,0.0064890384674072266,154,,,,,,[],0
55.png,0.00654911994934082,152,,,,,,[],0
56.png,0.006539821624755859,152,,,,,,[],0
57.png,0.0064885616302490234,154,,,,,,[],0
58.png,0.006255388259887695,159,,,,,,[],0
59.png,0.00649571418762207,153,,,,,,[],0
60.png,0.006905317306518555,144,,,,,,[],0
61.png,0.006497621536254883,153,,,,,,[],0
62.png,0.006497859954833984,153,,,,,,[],0
63.png,0.006793022155761719,147,,,,,,[],0
64.png,0.0064640045166015625,154,,,,,,[],0
65.png,0.00647735595703125,154,,,,,,[],0
66.png,0.007938623428344727,125,bus,,,,,"[[1128, 90, 1893, 1079]]",1
67.png,0.007306098937988281,136,bus,,,,,"[[1130, 29, 1891, 1079]]",1
68.png,0.006413459777832031,155,,,,,,[],0
69.png,0.006940126419067383,144,,,,,,[],0
70.png,0.0066106319427490234,151,,,,,,[],0
71.png,0.0064661502838134766,154,,,,,,[],0
72.png,0.006625652313232422,150,,,,,,[],0
73.png,0.006466865539550781,154,,,,,,[],0
74.png,0.006474733352661133,154,,,,,,[],0
75.png,0.006716728210449219,148,,,,,,[],0
76.png,0.006566286087036133,152,,,,,,[],0
77.png,0.006568431854248047,152,,,,,,[],0
78.png,0.006590843200683594,151,,,,,,[],0
79.png,0.00658726692199707,151,,,,,,[],0
80.png,0.006532907485961914,153,,,,,,[],0
81.png,0.006520748138427734,153,,,,,,[],0
82.png,0.006676197052001953,149,,,,,,[],0
83.png,0.006500244140625,153,,,,,,[],0
84.png,0.00647735595703125,154,,,,,,[],0
85.png,0.0061986446380615234,161,,,,,,[],0
86.png,0.006522417068481445,153,,,,,,[],0
87.png,0.006562471389770508,152,,,,,,[],0
88.png,0.006800651550292969,147,,,,,,[],0
89.png,0.006589412689208984,151,,,,,,[],0
90.png,0.0065386295318603516,152,,,,,,[],0
91.png,0.006520748138427734,153,,,,,,[],0
92.png,0.00652766227722168,153,,,,,,[],0
93.png,0.006450653076171875,155,,,,,,[],0
94.png,0.006506204605102539,153,,,,,,[],0
95.png,0.006488800048828125,154,,,,,,[],0
96.png,0.006527423858642578,153,,,,,,[],0
97.png,0.006493568420410156,153,,,,,,[],0
98.png,0.00672459602355957,148,,,,,,[],0
99.png,0.006508350372314453,153,,,,,,[],0
100.png,0.006140232086181641,162,,,,,,[],0
101.png,0.006269693374633789,159,,,,,,[],0
102.png,0.006881237030029297,145,,,,,,[],0
103.png,0.0064618587493896484,154,,,,,,[],0
104.png,0.006695270538330078,149,,,,,,[],0
105.png,0.0065348148345947266,153,,,,,,[],0
106.png,0.006288766860961914,159,,,,,,[],0
107.png,0.006604671478271484,151,,,,,,[],0
108.png,0.00656580924987793,152,,,,,,[],0
109.png,0.006551265716552734,152,,,,,,[],0
110.png,0.006972074508666992,143,,,,,,[],0
111.png,0.006468057632446289,154,,,,,,[],0
112.png,0.0065653324127197266,152,,,,,,[],0
113.png,0.006489992141723633,154,,,,,,[],0
114.png,0.006563901901245117,152,,,,,,[],0
115.png,0.0065762996673583984,152,,,,,,[],0
116.png,0.00658106803894043,151,,,,,,[],0
117.png,0.006502628326416016,153,,,,,,[],0
118.png,0.006580829620361328,151,,,,,,[],0
119.png,0.0065882205963134766,151,,,,,,[],0
120.png,0.007077455520629883,141,,,,,,[],0
121.png,0.006514787673950195,153,,,,,,[],0
122.png,0.006514549255371094,153,,,,,,[],0
123.png,0.0067250728607177734,148,,,,,,[],0
124.png,0.006562471389770508,152,,,,,,[],0
125.png,0.0066797733306884766,149,,,,,,[],0
126.png,0.006512880325317383,153,,,,,,[],0
127.png,0.006550312042236328,152,,,,,,[],0
128.png,0.00653386116027832,153,,,,,,[],0
129.png,0.006593227386474609,151,,,,,,[],0
130.png,0.006547451019287109,152,,,,,,[],0
131.png,0.006785869598388672,147,,,,,,[],0
132.png,0.006543397903442383,152,,,,,,[],0
133.png,0.006531476974487305,153,,,,,,[],0
134.png,0.006601810455322266,151,,,,,,[],0
135.png,0.006528139114379883,153,,,,,,[],0
136.png,0.006687641143798828,149,,,,,,[],0
137.png,0.006247043609619141,160,,,,,,[],0
138.png,0.006533622741699219,153,,,,,,[],0
139.png,0.00654149055480957,152,,,,,,[],0
140.png,0.0065767765045166016,152,,,,,,[],0
141.png,0.006574153900146484,152,,,,,,[],0
142.png,0.006526947021484375,153,,,,,,[],0
143.png,0.006644010543823242,150,,,,,,[],0
144.png,0.006521463394165039,153,,,,,,[],0
145.png,0.006498575210571289,153,,,,,,[],0
146.png,0.006512641906738281,153,,,,,,[],0
147.png,0.006474733352661133,154,,,,,,[],0
148.png,0.0065762996673583984,152,,,,,,[],0
149.png,0.0065538883209228516,152,,,,,,[],0
150.png,0.006520986557006836,153,,,,,,[],0
151.png,0.006478548049926758,154,,,,,,[],0
152.png,0.0064656734466552734,154,,,,,,[],0
153.png,0.006522417068481445,153,,,,,,[],0
154.png,0.0064868927001953125,154,,,,,,[],0
155.png,0.006646156311035156,150,,,,,,[],0
156.png,0.006512165069580078,153,,,,,,[],0
157.png,0.006515979766845703,153,,,,,,[],0
158.png,0.0066988468170166016,149,,,,,,[],0
159.png,0.006712436676025391,148,,,,,,[],0
160.png,0.006588459014892578,151,,,,,,[],0
161.png,0.006686210632324219,149,,,,,,[],0
162.png,0.00612640380859375,163,,,,,,[],0
163.png,0.006560802459716797,152,,,,,,[],0
164.png,0.0065462589263916016,152,,,,,,[],0
165.png,0.00655055046081543,152,,,,,,[],0
166.png,0.0067234039306640625,148,,,,,,[],0
167.png,0.006876707077026367,145,,,,,,[],0
168.png,0.006468296051025391,154,,,,,,[],0
169.png,0.006915569305419922,144,,,,,,[],0
170.png,0.006504058837890625,153,,,,,,[],0
171.png,0.0064105987548828125,155,,,,,,[],0
172.png,0.006178617477416992,161,,,,,,[],0
173.png,0.006125926971435547,163,,,,,,[],0
174.png,0.006269216537475586,159,,,,,,[],0
175.png,0.0063266754150390625,158,,,,,,[],0
176.png,0.006505489349365234,153,,,,,,[],0
177.png,0.006257534027099609,159,,,,,,[],0
178.png,0.006537675857543945,152,,,,,,[],0
179.png,0.00653076171875,153,,,,,,[],0
180.png,0.0065729618072509766,152,,,,,,[],0
181.png,0.006659507751464844,150,,,,,,[],0
182.png,0.006527900695800781,153,,,,,,[],0
183.png,0.006518125534057617,153,,,,,,[],0
184.png,0.006762027740478516,147,,,,,,[],0
185.png,0.0065686702728271484,152,,,,,,[],0
186.png,0.006575107574462891,152,,,,,,[],0
187.png,0.006522655487060547,153,,,,,,[],0
188.png,0.006599903106689453,151,,,,,,[],0
189.png,0.006525993347167969,153,,,,,,[],0
190.png,0.006481170654296875,154,,,,,,[],0
191.png,0.0066030025482177734,151,,,,,,[],0
192.png,0.0065479278564453125,152,,,,,,[],0
193.png,0.006525993347167969,153,,,,,,[],0
194.png,0.006589412689208984,151,,,,,,[],0
195.png,0.006590604782104492,151,,,,,,[],0
196.png,0.006777048110961914,147,,,,,,[],0
197.png,0.006577253341674805,152,,,,,,[],0
198.png,0.006550312042236328,152,,,,,,[],0
199.png,0.006550312042236328,152,,,,,,[],0
200.png,0.006558656692504883,152,,,,,,[],0
201.png,0.0065648555755615234,152,,,,,,[],0
202.png,0.006536006927490234,152,,,,,,[],0
203.png,0.0064716339111328125,154,,,,,,[],0
204.png,0.006511211395263672,153,,,,,,[],0
205.png,0.006527900695800781,153,,,,,,[],0
206.png,0.006529092788696289,153,,,,,,[],0
207.png,0.006714344024658203,148,,,,,,[],0
208.png,0.0065038204193115234,153,,,,,,[],0
209.png,0.00695347785949707,143,,,,,,[],0
210.png,0.006539344787597656,152,,,,,,[],0
211.png,0.006506443023681641,153,,,,,,[],0
212.png,0.006716489791870117,148,,,,,,[],0
213.png,0.006476402282714844,154,,,,,,[],0
214.png,0.0068378448486328125,146,,,,,,[],0
215.png,0.006498575210571289,153,,,,,,[],0
216.png,0.0066263675689697266,150,,,,,,[],0
217.png,0.0066297054290771484,150,,,,,,[],0
218.png,0.006923198699951172,144,,,,,,[],0
219.png,0.0064601898193359375,154,,,,,,[],0
220.png,0.006478071212768555,154,,,,,,[],0
221.png,0.006510019302368164,153,,,,,,[],0
222.png,0.006542682647705078,152,,,,,,[],0
223.png,0.0064945220947265625,153,,,,,,[],0
224.png,0.006635427474975586,150,,,,,,[],0
225.png,0.0066814422607421875,149,,,,,,[],0
226.png,0.006555080413818359,152,,,,,,[],0
227.png,0.006584644317626953,151,,,,,,[],0
228.png,0.0066950321197509766,149,,,,,,[],0
229.png,0.006543397903442383,152,,,,,,[],0
230.png,0.006533622741699219,153,,,,,,[],0
231.png,0.0065691471099853516,152,,,,,,[],0
232.png,0.006712198257446289,148,,,,,,[],0
233.png,0.006550312042236328,152,,,,,,[],0
234.png,0.006516695022583008,153,,,,,,[],0
235.png,0.006542682647705078,152,,,,,,[],0
236.png,0.006487369537353516,154,,,,,,[],0
237.png,0.006480693817138672,154,,,,,,[],0
238.png,0.006605386734008789,151,,,,,,[],0
239.png,0.006118059158325195,163,,,,,,[],0
240.png,0.006608724594116211,151,,,,,,[],0
241.png,0.006504535675048828,153,,,,,,[],0
242.png,0.0065920352935791016,151,,,,,,[],0
243.png,0.006522417068481445,153,,,,,,[],0
244.png,0.0065343379974365234,153,,,,,,[],0
245.png,0.006925106048583984,144,,,,,,[],0
246.png,0.006597280502319336,151,,,,,,[],0
247.png,0.0066242218017578125,150,,,,,,[],0
248.png,0.0065572261810302734,152,,,,,,[],0
249.png,0.006610393524169922,151,,,,,,[],0
250.png,0.0065765380859375,152,,,,,,[],0
251.png,0.006536245346069336,152,,,,,,[],0
252.png,0.006555318832397461,152,,,,,,[],0
253.png,0.006555080413818359,152,,,,,,[],0
254.png,0.006554603576660156,152,,,,,,[],0
255.png,0.006540536880493164,152,,,,,,[],0
256.png,0.006555795669555664,152,,,,,,[],0
257.png,0.006530284881591797,153,,,,,,[],0
258.png,0.006562948226928711,152,,,,,,[],0
259.png,0.006919145584106445,144,,,,,,[],0
260.png,0.006482124328613281,154,,,,,,[],0
261.png,0.006616830825805664,151,,,,,,[],0
262.png,0.006762504577636719,147,,,,,,[],0
263.png,0.006530284881591797,153,,,,,,[],0
264.png,0.0061283111572265625,163,,,,,,[],0
265.png,0.0069501399993896484,143,,,,,,[],0
266.png,0.006563663482666016,152,,,,,,[],0
267.png,0.006834268569946289,146,,,,,,[],0
268.png,0.0065844058990478516,151,,,,,,[],0
269.png,0.00654292106628418,152,,,,,,[],0
270.png,0.006580829620361328,151,,,,,,[],0
271.png,0.006576061248779297,152,,,,,,[],0
272.png,0.00652313232421875,153,,,,,,[],0
273.png,0.0065271854400634766,153,,,,,,[],0
274.png,0.0065424442291259766,152,,,,,,[],0
275.png,0.006700754165649414,149,,,,,,[],0
276.png,0.006598234176635742,151,,,,,,[],0
277.png,0.0065042972564697266,153,,,,,,[],0
278.png,0.006648063659667969,150,,,,,,[],0
279.png,0.006939888000488281,144,,,,,,[],0
280.png,0.006706953048706055,149,,,,,,[],0
281.png,0.00648045539855957,154,,,,,,[],0
282.png,0.0064814090728759766,154,,,,,,[],0
283.png,0.006516695022583008,153,,,,,,[],0
284.png,0.006521701812744141,153,,,,,,[],0
285.png,0.006537199020385742,152,,,,,,[],0
286.png,0.006748199462890625,148,,,,,,[],0
287.png,0.006498813629150391,153,,,,,,[],0
288.png,0.00653529167175293,153,,,,,,[],0
