,cost time,FPS,1,2,3,coordinate,len
1.png,0.022048234939575195,45,bus,,,"[[276, 177, 1919, 1060]]",1
2.png,0.0074253082275390625,134,car,,,"[[0, 24, 1789, 1049]]",1
3.png,0.007465839385986328,133,car,,,"[[0, 24, 1782, 1049]]",1
4.png,0.007268190383911133,137,car,,,"[[0, 25, 1780, 1049]]",1
5.png,0.0071756839752197266,139,car,,,"[[0, 25, 1781, 1048]]",1
6.png,0.007140398025512695,140,car,,,"[[0, 25, 1783, 1048]]",1
7.png,0.0071980953216552734,138,car,,,"[[0, 27, 1783, 1046]]",1
8.png,0.00719141960144043,139,car,,,"[[0, 28, 1788, 1045]]",1
9.png,0.007122516632080078,140,car,,,"[[0, 28, 1787, 1045]]",1
10.png,0.0071868896484375,139,car,,,"[[0, 29, 1784, 1044]]",1
11.png,0.007531404495239258,132,car,,,"[[0, 30, 1786, 1042]]",1
12.png,0.0074388980865478516,134,car,,,"[[0, 27, 1776, 1045]]",1
13.png,0.0072994232177734375,136,car,,,"[[0, 26, 1774, 1046]]",1
14.png,0.007151603698730469,139,car,,,"[[0, 26, 1774, 1046]]",1
15.png,0.007192134857177734,139,car,,,"[[0, 25, 1775, 1047]]",1
16.png,0.007272005081176758,137,car,,,"[[0, 25, 1777, 1047]]",1
17.png,0.007281064987182617,137,car,,,"[[0, 24, 1775, 1048]]",1
18.png,0.007246494293212891,137,car,,,"[[0, 24, 1785, 1046]]",1
19.png,0.0072252750396728516,138,car,,,"[[0, 25, 1786, 1046]]",1
20.png,0.0071563720703125,139,car,,,"[[0, 25, 1787, 1046]]",1
21.png,0.0072019100189208984,138,car,,,"[[0, 24, 1787, 1047]]",1
22.png,0.007219076156616211,138,car,,,"[[0, 44, 1794, 1029]]",1
23.png,0.007244586944580078,138,car,,,"[[0, 42, 1733, 1031]]",1
24.png,0.007177591323852539,139,car,,,"[[0, 40, 1741, 1037]]",1
25.png,0.007235527038574219,138,car,,,"[[0, 39, 1746, 1038]]",1
26.png,0.007233619689941406,138,car,,,"[[0, 38, 1751, 1039]]",1
27.png,0.0069653987884521484,143,car,,,"[[0, 39, 1749, 1038]]",1
28.png,0.006845951080322266,146,car,,,"[[0, 39, 1749, 1038]]",1
29.png,0.007266044616699219,137,car,,,"[[0, 40, 1752, 1036]]",1
30.png,0.007213592529296875,138,car,,,"[[0, 44, 1747, 1032]]",1
31.png,0.006570577621459961,152,,,,[],0
32.png,0.00716710090637207,139,car,,,"[[0, 47, 1786, 1022]]",1
33.png,0.0065310001373291016,153,,,,[],0
34.png,0.00679326057434082,147,,,,[],0
35.png,0.006539106369018555,152,,,,[],0
36.png,0.006562948226928711,152,,,,[],0
37.png,0.00654292106628418,152,,,,[],0
38.png,0.006514787673950195,153,,,,[],0
39.png,0.006727695465087891,148,,,,[],0
40.png,0.006497859954833984,153,,,,[],0
41.png,0.006541728973388672,152,,,,[],0
42.png,0.006570100784301758,152,,,,[],0
43.png,0.006531238555908203,153,,,,[],0
44.png,0.0065479278564453125,152,,,,[],0
45.png,0.006570100784301758,152,,,,[],0
46.png,0.007308244705200195,136,car,,,"[[0, 23, 1798, 1045]]",1
47.png,0.0065059661865234375,153,,,,[],0
48.png,0.006828784942626953,146,,,,[],0
49.png,0.006523847579956055,153,,,,[],0
50.png,0.006470680236816406,154,,,,[],0
51.png,0.0065135955810546875,153,,,,[],0
52.png,0.007270097732543945,137,car,,,"[[0, 27, 1806, 1041]]",1
53.png,0.007451057434082031,134,car,,,"[[0, 27, 1805, 1041]]",1
54.png,0.007149934768676758,139,car,,,"[[0, 26, 1801, 1041]]",1
55.png,0.007142543792724609,140,car,,,"[[0, 27, 1801, 1041]]",1
56.png,0.007113456726074219,140,car,,,"[[0, 27, 1802, 1041]]",1
57.png,0.007197856903076172,138,car,,,"[[0, 27, 1802, 1041]]",1
58.png,0.00715947151184082,139,car,,,"[[0, 29, 1805, 1039]]",1
59.png,0.006961345672607422,143,car,,,"[[0, 29, 1805, 1039]]",1
60.png,0.006895542144775391,145,car,,,"[[0, 29, 1805, 1039]]",1
61.png,0.007306098937988281,136,car,,,"[[0, 29, 1805, 1039]]",1
62.png,0.007165193557739258,139,car,,,"[[0, 31, 1800, 1037]]",1
63.png,0.006924629211425781,144,car,,,"[[0, 31, 1800, 1037]]",1
64.png,0.0072214603424072266,138,car,,,"[[0, 31, 1800, 1037]]",1
65.png,0.007193803787231445,139,car,,,"[[0, 31, 1800, 1037]]",1
66.png,0.006639242172241211,150,,,,[],0
67.png,0.007311344146728516,136,sofa,,,"[[59, 34, 1869, 1061]]",1
68.png,0.007538557052612305,132,car,,,"[[836, 394, 1853, 830]]",1
69.png,0.007559299468994141,132,car,,,"[[846, 387, 1839, 830]]",1
70.png,0.007670879364013672,130,car,,,"[[842, 388, 1845, 827]]",1
71.png,0.007737159729003906,129,car,,,"[[844, 382, 1848, 828]]",1
72.png,0.0075185298919677734,133,car,,,"[[781, 321, 1828, 820]]",1
73.png,0.007534503936767578,132,car,,,"[[788, 336, 1840, 886]]",1
74.png,0.0077664852142333984,128,car,,,"[[788, 339, 1838, 887]]",1
75.png,0.007524728775024414,132,car,,,"[[771, 325, 1833, 801]]",1
76.png,0.007531642913818359,132,car,,,"[[838, 317, 1871, 801]]",1
77.png,0.0068585872650146484,145,car,,,"[[836, 316, 1873, 801]]",1
78.png,0.00782632827758789,127,car,,,"[[767, 328, 1820, 780]]",1
79.png,0.007596492767333984,131,car,,,"[[767, 321, 1819, 791]]",1
80.png,0.0074825286865234375,133,car,,,"[[767, 321, 1855, 910]]",1
81.png,0.007477998733520508,133,car,,,"[[764, 320, 1860, 914]]",1
82.png,0.007349252700805664,136,car,,,"[[596, 530, 1075, 921]]",1
83.png,0.007471323013305664,133,car,,,"[[585, 526, 1057, 928]]",1
84.png,0.00684046745300293,146,,,,[],0
85.png,0.007895469665527344,126,car,,,"[[542, 576, 1038, 955]]",1
86.png,0.007135868072509766,140,car,,,"[[551, 536, 1045, 917]]",1
87.png,0.0075337886810302734,132,car,,,"[[551, 536, 1045, 917]]",1
88.png,0.006769657135009766,147,,,,[],0
89.png,0.007601022720336914,131,car,,,"[[545, 554, 1041, 981]]",1
90.png,0.007036447525024414,142,car,,,"[[601, 570, 1109, 964]]",1
91.png,0.0074787139892578125,133,car,,,"[[683, 529, 1150, 922]]",1
92.png,0.008026123046875,124,car,,,"[[662, 540, 1164, 994]]",1
93.png,0.007551908493041992,132,car,,,"[[685, 558, 1240, 982]]",1
94.png,0.007657766342163086,130,aeroplane,car,,"[[56, 226, 419, 521], [742, 576, 1233, 963]]",2
95.png,0.0075778961181640625,131,aeroplane,car,,"[[42, 237, 419, 517], [726, 586, 1252, 950]]",2
96.png,0.007551431655883789,132,car,,,"[[752, 576, 1250, 965]]",1
97.png,0.0072286128997802734,138,car,,,"[[842, 575, 1304, 966]]",1
98.png,0.007201194763183594,138,car,,,"[[859, 509, 1290, 929]]",1
99.png,0.006756782531738281,147,car,,,"[[879, 619, 1363, 969]]",1
100.png,0.006470918655395508,154,,,,[],0
101.png,0.006490468978881836,154,,,,[],0
102.png,0.007180690765380859,139,car,,,"[[144, 271, 362, 464]]",1
103.png,0.0076122283935546875,131,car,car,car,"[[1, 251, 191, 485], [1471, 296, 1888, 412], [811, 519, 1404, 895]]",3
104.png,0.0075359344482421875,132,car,car,,"[[748, 521, 1406, 900], [0, 259, 194, 488]]",2
105.png,0.00712132453918457,140,car,,,"[[760, 529, 1445, 885]]",1
106.png,0.007524013519287109,132,car,car,,"[[758, 525, 1454, 884], [18, 261, 414, 476]]",2
107.png,0.00795888900756836,125,car,,,"[[782, 525, 1428, 899]]",1
108.png,0.0075228214263916016,132,car,car,,"[[44, 265, 450, 473], [860, 533, 1395, 890]]",2
109.png,0.007595062255859375,131,car,,,"[[40, 262, 466, 475]]",1
110.png,0.007840156555175781,127,car,car,car,"[[833, 554, 1399, 896], [17, 283, 499, 453], [450, 344, 850, 441]]",3
111.png,0.007791757583618164,128,car,car,car,"[[833, 554, 1399, 896], [17, 283, 499, 453], [450, 344, 850, 441]]",3
112.png,0.007793426513671875,128,car,car,car,"[[17, 286, 508, 456], [849, 607, 1359, 941], [486, 341, 841, 437]]",3
113.png,0.007599353790283203,131,car,car,,"[[1276, 419, 1865, 682], [797, 617, 1375, 951]]",2
114.png,0.007369518280029297,135,car,car,,"[[715, 587, 1280, 962], [629, 339, 953, 437]]",2
115.png,0.0077593326568603516,128,car,car,car,"[[668, 542, 1202, 983], [27, 269, 500, 466], [501, 332, 839, 451]]",3
116.png,0.007516145706176758,133,car,car,,"[[665, 554, 1182, 976], [454, 337, 888, 449]]",2
117.png,0.007744550704956055,129,car,car,,"[[1539, 176, 1917, 752], [689, 557, 1191, 986]]",2
118.png,0.007456541061401367,134,car,,,"[[578, 588, 1108, 964]]",1
119.png,0.007590293884277344,131,car,,,"[[558, 577, 1109, 972]]",1
120.png,0.00701451301574707,142,car,,,"[[518, 481, 1134, 1060]]",1
121.png,0.0074689388275146484,133,car,,,"[[515, 485, 1144, 1069]]",1
122.png,0.0072078704833984375,138,car,,,"[[536, 579, 1093, 974]]",1
123.png,0.007508993148803711,133,car,,,"[[489, 489, 1144, 1072]]",1
