,cost time,FPS,1,2,3,4,5,6,7,8,coordinate,len
1.png,0.021098613739013672,47,,,,,,,,,[],0
2.png,0.006485939025878906,154,,,,,,,,,[],0
3.png,0.006438732147216797,155,,,,,,,,,[],0
4.png,0.006514310836791992,153,,,,,,,,,[],0
5.png,0.00646662712097168,154,,,,,,,,,[],0
6.png,0.006911039352416992,144,,,,,,,,,[],0
7.png,0.006512641906738281,153,,,,,,,,,[],0
8.png,0.0064585208892822266,154,,,,,,,,,[],0
9.png,0.0065839290618896484,151,,,,,,,,,[],0
10.png,0.006598234176635742,151,,,,,,,,,[],0
11.png,0.006533622741699219,153,,,,,,,,,[],0
12.png,0.006491899490356445,154,,,,,,,,,[],0
13.png,0.0065038204193115234,153,,,,,,,,,[],0
14.png,0.00648188591003418,154,,,,,,,,,[],0
15.png,0.006510019302368164,153,,,,,,,,,[],0
16.png,0.0065250396728515625,153,,,,,,,,,[],0
17.png,0.006488800048828125,154,,,,,,,,,[],0
18.png,0.007554769515991211,132,person,,,,,,,,"[[641, 248, 814, 485]]",1
19.png,0.006898641586303711,144,person,,,,,,,,"[[554, 227, 776, 503]]",1
20.png,0.007214546203613281,138,person,,,,,,,,"[[555, 226, 776, 504]]",1
21.png,0.0065386295318603516,152,,,,,,,,,[],0
22.png,0.006509065628051758,153,,,,,,,,,[],0
23.png,0.007184743881225586,139,person,,,,,,,,"[[615, 290, 826, 540]]",1
24.png,0.007219791412353516,138,person,,,,,,,,"[[615, 290, 825, 539]]",1
25.png,0.006493806838989258,153,,,,,,,,,[],0
26.png,0.006540775299072266,152,,,,,,,,,[],0
27.png,0.006474494934082031,154,,,,,,,,,[],0
28.png,0.006526470184326172,153,,,,,,,,,[],0
29.png,0.006508350372314453,153,,,,,,,,,[],0
30.png,0.006532907485961914,153,,,,,,,,,[],0
31.png,0.0065631866455078125,152,,,,,,,,,[],0
32.png,0.00670170783996582,149,,,,,,,,,[],0
33.png,0.006530046463012695,153,,,,,,,,,[],0
34.png,0.006562232971191406,152,,,,,,,,,[],0
35.png,0.006513118743896484,153,,,,,,,,,[],0
36.png,0.006485939025878906,154,,,,,,,,,[],0
37.png,0.0064697265625,154,,,,,,,,,[],0
38.png,0.0064544677734375,154,,,,,,,,,[],0
39.png,0.0065381526947021484,152,,,,,,,,,[],0
40.png,0.006523847579956055,153,,,,,,,,,[],0
41.png,0.00653386116027832,153,,,,,,,,,[],0
42.png,0.006552934646606445,152,,,,,,,,,[],0
43.png,0.006521940231323242,153,,,,,,,,,[],0
44.png,0.006742238998413086,148,,,,,,,,,[],0
45.png,0.006596803665161133,151,,,,,,,,,[],0
46.png,0.006578683853149414,152,,,,,,,,,[],0
47.png,0.0065534114837646484,152,,,,,,,,,[],0
48.png,0.006535053253173828,153,,,,,,,,,[],0
49.png,0.0065653324127197266,152,,,,,,,,,[],0
50.png,0.006636381149291992,150,,,,,,,,,[],0
51.png,0.006494283676147461,153,,,,,,,,,[],0
52.png,0.006554126739501953,152,,,,,,,,,[],0
53.png,0.006525278091430664,153,,,,,,,,,[],0
54.png,0.006561756134033203,152,,,,,,,,,[],0
55.png,0.006245851516723633,160,,,,,,,,,[],0
56.png,0.006489276885986328,154,,,,,,,,,[],0
57.png,0.006537675857543945,152,,,,,,,,,[],0
58.png,0.00628972053527832,158,,,,,,,,,[],0
59.png,0.006736040115356445,148,,,,,,,,,[],0
60.png,0.0067288875579833984,148,,,,,,,,,[],0
61.png,0.006528139114379883,153,,,,,,,,,[],0
62.png,0.006594419479370117,151,,,,,,,,,[],0
63.png,0.0065174102783203125,153,,,,,,,,,[],0
64.png,0.006525993347167969,153,,,,,,,,,[],0
65.png,0.006593942642211914,151,,,,,,,,,[],0
66.png,0.006533145904541016,153,,,,,,,,,[],0
67.png,0.006547689437866211,152,,,,,,,,,[],0
68.png,0.00649261474609375,154,,,,,,,,,[],0
69.png,0.006589174270629883,151,,,,,,,,,[],0
70.png,0.006582975387573242,151,,,,,,,,,[],0
71.png,0.006536245346069336,152,,,,,,,,,[],0
72.png,0.006509542465209961,153,,,,,,,,,[],0
73.png,0.0077359676361083984,129,chair,person,,,,,,,"[[645, 312, 835, 498], [613, 180, 820, 449]]",2
74.png,0.006740093231201172,148,,,,,,,,,[],0
75.png,0.007216930389404297,138,sofa,,,,,,,,"[[129, 455, 540, 708]]",1
76.png,0.007277250289916992,137,sofa,,,,,,,,"[[131, 453, 538, 708]]",1
77.png,0.00722956657409668,138,sofa,,,,,,,,"[[130, 453, 537, 709]]",1
78.png,0.007233619689941406,138,sofa,,,,,,,,"[[131, 453, 536, 709]]",1
79.png,0.007213592529296875,138,sofa,,,,,,,,"[[130, 452, 537, 709]]",1
80.png,0.00713801383972168,140,sofa,,,,,,,,"[[129, 453, 537, 708]]",1
81.png,0.007537126541137695,132,sofa,sofa,,,,,,,"[[131, 452, 536, 708], [710, 121, 1210, 594]]",2
